player,teammate,weight
--jb--,Carola_,1
--jb--,DrScience,4
--jb--,Florian,4
--jb--,Johannes______,4
--jb--,Pablo4242,3
-.-,runxujoinpls,1
-.-,samersayour,1
-.-,tonkatsu,1
-.-,waznop,1
-.-,yabuya1996,1
-_-,0.0,9
-_-,chicago,6
-_-,jennnnnnnnny,3
-_-,mishell,4
-_-,mynameisoreo,6
-_-,o_O,9
-_-,originalist,6
-_-,Thao,5
-_-,vymai,4
-Jeff-,GemmaFisher,1
-Jeff-,gfisherrrr,1
-Jeff-,sff,1
-Jeff-,somethingjoshy,1
-mwood,TJWood1,5
-mwood,trevor1,2
-mwood,twood,34
-rainyu,CFOP,2
-rainyu,Elicliax,1
-rainyu,gchang02,14
-rainyu,GrossFudge,1
-rainyu,HANABIGOD77,7
-rainyu,mshan,11
-rainyu,NathanielMY,1
-rainyu,warmaster775,4
 afriendlyally,alisa,6
 afriendlyally,boredanika,6
 Alevtina,erk,3
 Alevtina,frangio,3
 Alevtina,lalala8,3
 Alevtina,ylv,3
 Andrew_UK,Andrew_UK,1
 Andrew_UK,Cory,1
 Andrew_UK,scharkbite,1
 black_rose,Maku,4
 black_rose,makumako,7
 black_rose,toniabits,8
 black_rose,toniabitsa,3
 Kopfscherz,Polliska,346
 nguyendinh,aaronclu,1
 nguyendinh,l2y,4
 nguyendinh,MisterEnding,2
 nguyendinh,naenae,6
 nguyendinh,nd,4
 NicciB,AJMendham,2
 NicciB,GJTysall88,3
 NicciB,Slipshift,3
 Notafool,Galoiss,3
 Notafool,nmego,2
 ptorre,annarosen,13
 ptorre,Jakie,1
 ptorre,ptorre2ataol,2
 ptorre,SmellyJoe,13
 vghakesf,barnett,6
 vghakesf,christina123,2
 vghakesf,jujubees,5
 vghakesf,okiasdjoaisjdio,8
 vghakesf,quarke,2
 vghakesf,sanketa,2
..,discogurl,2
..,Droeftoeter3200,2
..,keesapenvlees,2
..,macanek,70
..,Wittvector,6
...,Barny,4
...,Pikachuischeese,5
...,Rockon,3
...,sillyslinky,6
...,YuukiS,6
......,dcesar,2
......,zubazshorts,2
..........,BBFTN_TGA,1
..........,Cindy,1
..........,forcebonbon,1
..........,pcheesecke,1
...aloa...jade,...aloha...madi,1
._.,bannie,7
.files,amushka00,5
.files,astronam,4
.files,Bot-Fiora,4
.files,brian.malehorn,3
.files,choroq96,12
.files,cleung11,22
.files,derf,17
.files,dot-files,4
.files,Fafrd,48
.files,flofloliu,4
.files,ghoulius,40
.files,glenshelly,87
.files,griff77,4
.files,hypnotode,10
.files,jacobbruce,25
.files,JulesLandry1,3
.files,Kenya,9
.files,klcn,22
.files,lilyszhang96,5
.files,lszhang,16
.files,martinxsliu,6
.files,ModuloNathan,3
.files,qzwxec123,8
.files,ricardodd,4
.files,rjshelly,6
.files,scaleronoah,3
__,Onen,1
__,orucsoraihc,1
____,jwan2024,2
____,vEnhance,2
_____,caleczka,3
_____,Duduś,3
_____,senatan,3
______,caleczka,6
______,Duduś,8
______,magda,2
______,senatan,6
______-------__,abhinav,1
______-------__,CoronaCantTaste,2
______-------__,eroc,1
______-------__,freedomgw,1
______-------__,MeowLiao,1
______-------__,nishfishsquish,1
______-------__,Sabby ,1
__anabi__,catslayer,5
__anabi__,not_jonny,5
__anabi__,TTT,5
__anabi__,vassiki,2
__anabi__,vassikichauhan,2
__jb,Carola_,3
__jb,DrScience,5
__jb,Florian,5
__jb,Johannes______,5
__jospeh__,ksusters,1
__Philip__,andreas,1
